,Titles,Year,IMDB Ratings,Votes
603,Cinderella Man,2005,8.0,172643
604,October Sky,1999,7.8,79374
605,Rope,1948,8.0,124454
606,Evil Dead II,1987,7.8,143669
607,Ed Wood,1994,7.8,162296
608,"Synecdoche, New York",2008,7.6,78562
609,Night of the Living Dead,1968,7.9,112209
610,The Man Who Shot Liberty Valance,1962,8.1,66643
611,The King of Comedy,1982,7.8,82694
612,Sabrina,1954,7.7,57142
613,East of Eden,1955,7.9,39015
614,The Wild Bunch,1969,7.9,75560
615,Mimi wo sumaseba,1995,7.9,47473
616,Leviafan,2014,7.6,47434
617,The Magdalene Sisters,2002,7.7,25479
618,Dawn of the Dead,1978,7.9,108493
619,Mysterious Skin,2004,7.6,64589
620,Mary and Max,2009,8.1,159842
621,Zimna wojna,2018,7.6,44736
622,Beasts of No Nation,2015,7.7,70723
623,All That Jazz,1979,7.9,26821
624,Arsenic and Old Lace,1944,8.0,63784
625,Me and Earl and the Dying Girl,2015,7.7,119635
626,La dolce vita,1960,8.0,63839
627,Hotel Rwanda,2004,8.1,327299
628,Hedwig and the Angry Inch,2001,7.7,31247
629,The Great Dictator,1940,8.4,195285
630,The Last Emperor,1987,7.7,90974
631,Barton Fink,1991,7.7,109970
632,Le mépris,1963,7.6,27494
633,Mommy,2014,8.1,47983
634,The Message,1976,8.2,42536
635,Miller's Crossing,1990,7.7,123075
636,Gully Boy,2019,8.1,28113
637,Anatomy of a Murder,1959,8.0,57806
638,Kelly's Heroes,1970,7.6,43978
639,The Longest Day,1962,7.8,51152
640,Clerks,1994,7.7,208395
641,Harold and Maude,1971,7.9,68847
642,Paddington 2,2017,7.8,57008
643,Kurenai no buta,1992,7.7,72596
644,Bãhubali: The Beginning,2015,8.1,99105
645,Zwartboek,2006,7.7,71158
646,21 Grams,2003,7.7,220307
647,My Left Foot: The Story of Christy Brown,1989,7.9,65554
648,After Hours,1985,7.7,55793
649,Sling Blade,1996,8.0,85297
650,Modern Times,1936,8.5,208798
651,8½,1963,8.0,105450
652,What Ever Happened to Baby Jane?,1962,8.1,48333
653,From Here to Eternity,1953,7.6,41972
654,The Last King of Scotland,2006,7.7,171938
655,The Night of the Hunter,1955,8.0,79500
656,Dancer in the Dark,2000,8.0,99324
657,Cape Fear,1962,7.7,25428
658,Giant,1956,7.6,32975
659,Badlands,1973,7.8,63226
660,The Right Stuff,1983,7.8,54604
661,Trois couleurs: Bleu,1993,7.9,85318
662,Nosferatu,1922,7.9,85941
663,Freaks,1932,7.9,40804
664,Stagecoach,1939,7.9,41659
665,This Is England,2006,7.7,113700
666,Chung Hing sam lam,1994,8.1,59050
667,Paper Moon,1973,8.1,40828
668,A Little Princess,1995,7.7,31197
669,All About Eve,1950,8.2,116593
670,Rashômon,1950,8.2,146408
671,Ajeossi,2010,7.8,60164
